n_clients,val_rate,val_per,good,poor,medium
poor,good,poor,7465954,216506,608074
medium,good,good,30292823,0,457
medium,poor,good,174786,11712129,211503
poor,good,medium,7414008,218,43261
good,poor,good,2602775,107100657,2200919
medium,medium,poor,154333,429956,1157434
good,medium,good,5487398,443,1697309
good,poor,medium,67021,1666813,977695
good,medium,medium,2026295,32109,3221938
medium,poor,poor,28042,3473496,197021
medium,good,medium,22996861,399,70161
poor,medium,medium,76623,4684,221434
poor,good,good,8123650,0,242
medium,medium,good,477483,63,206447
good,good,good,158080321,0,3187
good,poor,poor,258069,18407545,1757980
good,medium,poor,1121780,2932268,7344597
medium,good,poor,17262352,288044,1052644
medium,medium,medium,224145,5728,518821
good,good,medium,90377582,2950,330437
poor,poor,medium,3617,156647,70424
good,good,poor,62698589,2149073,6384811
poor,medium,poor,91626,453569,870491
poor,poor,poor,12791,2802855,92571
medium,poor,medium,8436,265249,142768
poor,medium,good,124949,22,63269
poor,poor,good,58626,4237303,94516
