n_clients,val_rate,val_per,good,poor,medium
poor,good,poor,0.9005395792357886,0.02611484374830379,0.07334557701590753
medium,good,good,0.9999849141459756,0.0,1.5085854024390888e-05
medium,poor,good,0.014447012824321329,0.9680711147523585,0.01748187242332014
poor,good,medium,0.9941697518212235,2.923236741813965e-05,0.0058010158113584375
good,poor,good,0.02325892583032808,0.9570732151424568,0.019667859027215125
medium,medium,poor,0.08860938277785847,0.24685670453912592,0.6645339126830156
good,medium,good,0.7637137707633105,6.16549410937837e-05,0.2362245742955958
good,poor,medium,0.024717050785737493,0.6147133222620891,0.3605696269521735
good,medium,medium,0.38374313633472984,0.006080856126364542,0.6101760075389057
medium,poor,poor,0.0075818717505925955,0.9391484629554375,0.0532696652939699
medium,good,medium,0.9969411404942061,1.7297122205382214e-05,0.003041562383588525
poor,medium,medium,0.2530975322140047,0.015471971090800387,0.7314304966951949
poor,good,good,0.9999702113223563,0.0,2.9788677643671286e-05
medium,medium,good,0.6980817055145301,9.210620576526368e-05,0.30182618827970464
good,good,good,0.999979839769244,0.0,2.016023075601283e-05
good,poor,poor,0.012635826975408932,0.9012882355573657,0.0860759374672254
good,medium,poor,0.09841345177431177,0.25724706752425397,0.6443394807014342
medium,good,poor,0.927931778892052,0.015483705888929982,0.056584515219017965
medium,medium,medium,0.2993813226765541,0.00765065567508221,0.6929680216483637
good,good,medium,0.9963247333406834,3.25208740742258e-05,0.0036427457852423557
poor,poor,medium,0.015679185740047164,0.6790426896934387,0.3052781245665141
good,good,poor,0.880196718707211,0.030169849641468998,0.08963343165132004
poor,medium,poor,0.06472197930897106,0.3203881369173673,0.6148898837736617
poor,poor,poor,0.0043982275050314336,0.9637709290606581,0.03183084343431044
medium,poor,medium,0.020256787680722674,0.6369242147373173,0.34281899758196005
poor,medium,good,0.6637749681257968,0.00011687207819804505,0.3361081597960051
poor,poor,good,0.013353088354369545,0.9651192532875369,0.021527658358093543
